"","x"
"1",-2.83969626562671
"2",-5.6947422224662
"3",1.34359195252654
"4",-7.15842139723653
"5",-7.98023714927035
"6",-4.92946760059701
"7",1.01144949308904
"8",-11.8719546241047
"9",5.95496638482445
"10",-0.72502395563654
"11",-2.45246711752746
"12",-15.9127974107253
"13",-20.4517797083907
"14",-16.7694697537146
"15",-27.3246939048458
"16",-8.39424905312644
"17",-21.9608207828376
"18",-13.7921232436373
"19",-21.2523755498726
"20",-12.0308443570841
"21",-11.4593730006043
"22",-22.1714008477942
"23",-12.5557716135686
"24",-20.2992778085716
"25",-4.47827083981017
"26",-10.3045267094193
"27",-7.67329605784653
"28",-8.69867368571401
"29",-11.6865656899155
"30",-8.40464163323668
"31",-9.86214105632747
"32",-13.5027619721169
"33",-6.50431243589405
"34",-9.08032619041196
"35",-13.1786403282847
"36",-0.930893128849153
"37",-13.420050251682
"38",-8.17787058631387
"39",-1.27246532395806
"40",-2.62227224652723
"41",-0.404938927467629
"42",-4.36457143959681
"43",-11.9549476507541
"44",-8.97317574039045
"45",-4.85155628546931
"46",-16.3177770684871
"47",-12.8395657358222
"48",-32.4052845273051
"49",-24.6303186635847
"50",-19.2211748576493
"51",-20.7565218163086
"52",-13.8480087253414
"53",-14.7847549380378
"54",-19.4825853448402
"55",-16.553083989076
"56",-25.3748094608448
"57",-4.69931584068643
"58",-20.2957499250831
"59",-9.18417265574906
"60",-9.25133010898878
"61",5.77302457875391
"62",-9.94519105667394
"63",-16.848768328428
"64",-15.1735591631892
"65",-15.0033897947908
"66",-10.2183720325205
"67",-7.76381866293286
"68",-2.17090980981829
"69",-3.74197569279998
"70",-7.18764077487315
"71",-4.71254187333103
"72",-8.61441633211565
"73",5.72227935826886
"74",-2.66370702406374
"75",-0.26377961052884
"76",-2.63543024671724
"77",-6.81567463699565
"78",-4.28225792166147
"79",7.77408455042642
"80",-2.42471188936948
"81",-5.5318032735975
"82",3.13726028469462
"83",9.29931668870127
"84",5.0401156187217
"85",12.4216747984459
"86",17.2580603536542
"87",18.3971847190641
"88",13.6852304301875
"89",25.2281171895509
"90",25.464425957694
