"index","series"
"1",1.2296753544333
"2",3.56798656721004
"3",3.09765382351958
"4",1.59670602354557
"5",2.55543356235914
"6",3.61545564454775
"7",3.20551960642804
"8",-5.38081497997895
"9",-10.6872689531694
"10",-5.19908258855042
"11",12.6833081687462
"12",16.838346974994
"13",-5.54267917782673
"14",-2.04479713578497
"15",-1.16059546691046
"16",-5.56313714930553
"17",6.39811267874241
"18",12.19189828251
"19",10.8240260402955
"20",18.2912655097799
"21",19.8534590580212
"22",-2.61413134538637
"23",-6.12315743061796
"24",13.1198042695399
"25",10.4788666576333
"26",8.37647491054419
"27",4.58507206673258
"28",-0.682134980344407
"29",-5.82771931306858
"30",-12.4930241716035
"31",-5.19906303970181
"32",4.05132079254744
"33",8.13505122472688
"34",8.77872007593631
"35",16.6456598396889
"36",16.5990816442056
"37",18.9960898526372
"38",6.44273436095794
"39",-3.32469334741059
"40",8.68903127143542
"41",1.55798425583796
"42",-1.49781140683385
"43",2.81678396357994
"44",0.305508978153066
"45",1.32474681447934
"46",3.21569516022117
"47",-12.1542206447092
"48",-4.75509891963244
"49",5.17713524639472
"50",13.0500213981735
"51",-2.38910973823293
"52",-1.96700145791931
"53",4.88769057484489
"54",-1.35421674389545
"55",0.49401399339877
"56",9.8923799469631
"57",5.09405690322627
"58",2.80531042322779
"59",6.408327014223
"60",7.00258451327169
"61",5.93345563480098
"62",11.1197851467192
"63",0.0436214401924069
"64",-14.3640151260152
"65",-2.52887661174373
"66",-1.59644496805855
"67",-5.90562077151024
"68",-7.11343159367761
"69",-4.4922669589677
"70",-0.737486384614521
"71",-0.385578397204233
"72",4.01075610871368
"73",0.794901760649065
"74",6.99474482655698
"75",2.2435642707612
"76",-9.48833774468971
"77",-1.89954308935964
"78",3.67608042962959
"79",-3.54671032179555
"80",-3.41864443888548
"81",-5.19023236403284
"82",-2.39310542849668
"83",2.20933416830259
"84",7.06115393986874
"85",13.9498671330663
"86",19.0730734022973
"87",17.2140544575377
"88",6.53169612913602
"89",4.90598868221484
"90",6.79163664628663
