index, x
1,92.3941972185858
2,66.0479372562841
3,55.9992735702544
4,55.0234564053826
5,121.388419813942
6,60.3918056106195
7,123.097927217372
8,105.083461565431
9,47.1290179630741
10,73.0402835328132
11,112.568801651709
12,58.5728423283435
13,101.252344600856
14,85.1848821514286
15,59.2026245230809
16,71.7385824779049
17,58.2912811040878
18,103.450310911052
19,37.6953086755238
20,99.9283515810966
21,40.2475686031394
22,91.4830976501107
23,54.7866566604935
24,56.7190277841873
25,42.4171090926975
26,55.3693236117251
27,58.7304158844054
28,50.1888213432394
29,43.081852750387
30,34.6051740166731
31,116.329886243679
32,72.0825720960274
33,79.8502533426508
34,67.4393883356825
35,121.59926415747
36,105.908032882493
37,85.9477750035003
38,69.9924460737966
39,111.583869355731
40,83.8888798686676
41,48.049668291118
42,69.4996455088258
43,66.3777498700656
44,59.3595141577534
45,113.012494490016
46,88.2556580086239
47,106.056735493243
48,90.9494407763705
49,78.964503205847
50,61.6135422824882
